task_type,title,duration_minutes,urgency,deadline_urgency,importance_to_goals,depends_on_you,stress_level,motivation_level,enjoyment_level,task_blocking_others,priority
Work,Send report,44,1,Tomorrow,5,1,2,5,3,1,Low
Study,Revise notes,163,1,Tomorrow,5,0,4,5,2,0,Low
Study,Practice math,124,3,This Week,2,0,5,1,3,0,Low
Personal,Call mom,145,3,No Deadline,1,1,1,4,1,0,Low
Work,Send report,86,3,Tomorrow,5,1,1,4,2,0,Medium
Personal,Plan trip,123,4,Tomorrow,3,0,2,5,4,1,Medium
Work,Send report,91,3,Overdue,2,0,2,4,3,1,Low
Study,Submit assignment,18,5,Today,2,0,1,2,3,1,Medium
Work,Fix bug,70,5,Next Week,1,1,3,3,1,1,Medium
Work,Fix bug,171,4,Overdue,3,1,2,5,5,1,Medium
Errand,Pick up parcel,132,4,Tomorrow,1,1,3,5,4,0,Low
Errand,Visit bank,125,2,Tomorrow,3,1,4,2,2,0,Low
Personal,Plan trip,152,2,Tomorrow,4,0,2,1,1,1,Low
Health,Meditate,85,4,Next Week,2,0,1,5,4,1,Low
Study,Practice math,151,3,Tomorrow,5,0,4,4,2,0,Medium
Work,Fix bug,73,2,Tomorrow,1,0,2,4,3,0,Low
Study,Submit assignment,179,1,Tomorrow,5,1,5,1,1,0,Low
Errand,Car service,81,4,Today,1,1,5,1,3,1,Medium
Study,Read chapter,14,3,No Deadline,2,0,5,4,4,1,Low
Health,Cook healthy meal,154,2,No Deadline,1,1,5,2,5,1,Low
Work,Write proposal,163,5,Tomorrow,1,0,3,4,2,1,Medium
Health,Take vitamins,158,2,This Week,5,0,1,2,3,1,Medium
Work,Write proposal,79,3,Overdue,1,0,4,3,2,1,Low
Personal,Plan trip,37,1,This Week,3,0,5,1,1,1,Low
Personal,Pay bills,84,3,This Week,3,1,1,2,3,0,Low
Work,Fix bug,24,3,Today,1,1,1,5,3,0,Low
Personal,Pay bills,49,3,No Deadline,3,0,2,1,1,1,Low
Errand,Visit bank,86,3,Tomorrow,3,0,1,5,3,1,Low
Errand,Book tickets,116,5,No Deadline,3,0,3,2,2,0,Low
Health,Take vitamins,121,1,This Week,3,1,1,2,1,1,Low
